symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
LDOUSDT,STOP_LOSS,0,2500.0,0.89,-103.675,-4.147
TRXUSDT,TIME_24H,0,2448.16,1.4,12.8419,0.525
SFPUSDT,TIME_24H,0,1213.99,0.1,-41.4897,-3.418
UNIUSDT,TIME_24H,0,1213.99,1.28,-17.3329,-1.428
ETHUSDT,TIME_24H,0,2425.17,5.22,81.3549,3.355
BCHUSDT,TIME_24H,0,2405.17,2.91,54.3047,2.258
TRXUSDT,STOP_LOSS,0,2493.0,0.83,-103.3848,-4.147
BCHUSDT,TIME_24H,0,2441.31,0.89,5.9517,0.244
ETHUSDT,TIME_24H,0,2421.18,2.53,47.1069,1.946
HOTUSDT,TRAILING,0,2447.49,3.07,21.1143,0.863
CAKEUSDT,TIME_24H,0,2467.84,1.53,-51.5365,-2.088
TKOUSDT,TRAILING,0,1194.11,6.18,46.5862,3.901
HOTUSDT,TRAILING,0,1828.96,3.48,23.0619,1.261
APEUSDT,TRAILING,0,1850.56,4.59,43.444,2.348
FETUSDT,TRAILING,0,1828.96,6.11,70.1067,3.833
ONTUSDT,TIME_24H,0,1274.41,1.35,13.7824,1.081
APEUSDT,STOP_LOSS,0,2543.75,0.04,-105.4893,-4.147
ETHUSDT,TRAILING,0,2498.37,3.68,36.2581,1.451
LDOUSDT,STOP_LOSS,0,2515.57,0.42,-104.3208,-4.147
DOTUSDT,TRAILING,0,2477.77,3.15,23.1032,0.932
NMRUSDT,TRAILING,0,1250.41,5.33,38.43,3.073
RLCUSDT,TRAILING,0,1250.41,4.72,30.9013,2.471
ETHUSDT,TIME_24H,0,2430.58,2.83,13.3743,0.55
GALAUSDT,TRAILING,0,2443.8,3.65,34.7265,1.421
NEXOUSDT,TRAILING,0,1284.95,3.64,18.1494,1.412
CAKEUSDT,TRAILING,0,1284.95,5.29,38.9774,3.033
ONTUSDT,TRAILING,0,1239.2,6.26,49.3031,3.979
NMRUSDT,TRAILING,0,1239.2,3.41,14.7205,1.188
MINAUSDT,TRAILING,0,2587.36,4.71,63.752,2.464
ONTUSDT,STOP_LOSS,0,2581.61,0.45,-107.0595,-4.147
FILUSDT,TRAILING,0,1025.55,6.44,42.5972,4.154
GRTUSDT,TRAILING,0,1025.55,4.49,23.1025,2.253
ARUSDT,STOP_LOSS,0,1064.92,0.11,-44.1624,-4.147
ATOMUSDT,TRAILING,0,1025.55,4.96,27.77,2.708
ZECUSDT,TIME_24H,0,1025.55,2.62,-14.9634,-1.459
LINKUSDT,TIME_24H,0,1025.55,2.03,-15.8805,-1.548
RUNEUSDT,TRAILING,0,1052.44,3.31,11.5459,1.097
CTKUSDT,TIME_24H,0,1035.13,2.67,16.8475,1.628
BCHUSDT,TIME_24H,0,1035.13,2.33,5.0884,0.492
NEARUSDT,STOP_LOSS,0,1028.62,1.8,-42.6567,-4.147
XRPUSDT,STOP_LOSS,0,1028.62,0.25,-42.6567,-4.147
ATOMUSDT,STOP_LOSS,0,1028.62,2.66,-42.6567,-4.147
APTUSDT,TRAILING,0,2535.52,5.43,80.2748,3.166
HIGHUSDT,STOP_LOSS,0,2575.66,1.33,-106.8125,-4.147
IMXUSDT,TRAILING,0,2522.25,9.85,189.0305,7.495
ZILUSDT,STOP_LOSS,0,2616.77,1.83,-108.5173,-4.147
IMXUSDT,STOP_LOSS,0,2595.18,1.62,-107.6223,-4.147
MASKUSDT,STOP_LOSS,0,2499.29,0.07,-103.6455,-4.147
LDOUSDT,STOP_LOSS,0,2499.29,1.63,-103.6455,-4.147
XRPUSDT,TRAILING,0,2405.05,3.07,20.5686,0.855
AVAXUSDT,TIME_24H,0,2385.22,2.32,38.3154,1.606
ZECUSDT,TRAILING,0,1212.78,5.18,35.5053,2.928
XRPUSDT,TRAILING,0,1212.78,5.42,38.344,3.162
ZENUSDT,TRAILING,0,2041.11,4.03,36.6978,1.798
DASHUSDT,TRAILING,0,2423.36,4.03,43.53,1.796
XRPUSDT,TIME_24H,0,2488.86,1.54,-38.8894,-1.563
TLMUSDT,TRAILING,0,1123.34,5.43,35.5576,3.165
ZECUSDT,TIME_24H,0,1390.17,2.9,-13.5894,-0.978
DYDXUSDT,TRAILING,0,2450.09,3.08,21.3154,0.87
ONEUSDT,STOP_LOSS,0,1161.08,0.54,-48.15,-4.147
AUDIOUSDT,STOP_LOSS,0,1623.08,1.38,-67.309,-4.147
API3USDT,STOP_LOSS,0,1623.08,0.93,-67.309,-4.147
SKLUSDT,STOP_LOSS,0,601.37,0.26,-24.9388,-4.147
ZILUSDT,TRAILING,0,1600.56,6.04,60.3049,3.768
STGUSDT,TRAILING,0,552.75,5.18,16.1754,2.926
PYRUSDT,TRAILING,0,1600.56,3.07,13.7155,0.857
APTUSDT,STOP_LOSS,0,552.75,1.39,-22.9225,-4.147
SLPUSDT,STOP_LOSS,0,568.04,2.19,-23.5565,-4.147
GALAUSDT,TRAILING,0,552.75,3.0,4.3888,0.794
1INCHUSDT,STOP_LOSS,0,1036.2,0.18,-42.9714,-4.147
ARUSDT,STOP_LOSS,0,1036.2,0.3,-42.9714,-4.147
FIDAUSDT,TRAILING,0,139.23,3.34,1.5639,1.123
SHIBUSDT,TIME_24H,0,1600.56,1.67,-3.7336,-0.233
BANDUSDT,TRAILING,0,1265.21,4.4,27.3192,2.159
C98USDT,TRAILING,0,139.41,6.42,5.7695,4.138
WAXPUSDT,STOP_LOSS,0,204.16,0.13,-8.4665,-4.147
MINAUSDT,TIME_24H,0,1036.2,1.0,-13.6142,-1.314
FLUXUSDT,TIME_24H,0,720.7,2.71,-7.5984,-1.054
KSMUSDT,STOP_LOSS,0,2402.82,0.58,-99.6449,-4.147
FIDAUSDT,STOP_LOSS,0,427.47,0.88,-17.7272,-4.147
C98USDT,STOP_LOSS,0,652.49,0.43,-27.0587,-4.147
CVXUSDT,STOP_LOSS,0,566.65,0.88,-23.499,-4.147
MBLUSDT,TRAILING,0,1532.64,3.82,24.3339,1.588
CFXUSDT,TRAILING,0,518.2,6.51,21.9253,4.231
YFIUSDT,STOP_LOSS,0,1532.64,1.58,-63.5585,-4.147
ATOMUSDT,TRAILING,0,1004.86,4.21,19.8513,1.976
ZILUSDT,TRAILING,0,1004.86,5.3,30.5469,3.04
UNIUSDT,TRAILING,0,1532.64,6.62,66.3805,4.331
XVSUSDT,TRAILING,0,518.2,5.04,14.4358,2.786
MASKUSDT,TRAILING,0,1048.2,5.22,31.0314,2.96
ICPUSDT,TRAILING,0,1048.2,3.85,17.0343,1.625
AAVEUSDT,TRAILING,0,1048.2,3.15,9.8185,0.937
MBLUSDT,TIME_24H,0,518.2,1.84,-3.5187,-0.679
ASTRUSDT,TRAILING,0,782.82,6.76,35.0203,4.474
BANDUSDT,TRAILING,0,1048.2,8.76,67.3619,6.426
HOTUSDT,TRAILING,0,1071.36,3.27,11.3067,1.055
BCHUSDT,TRAILING,0,1071.36,3.82,17.0562,1.592
ICPUSDT,STOP_LOSS,0,1115.49,0.72,-46.2592,-4.147
DOTUSDT,TIME_24H,0,789.42,1.7,0.7858,0.1
YGGUSDT,TRAILING,0,806.78,6.69,35.5268,4.404
AAVEUSDT,TIME_24H,0,817.12,1.24,-11.3515,-1.389
BCHUSDT,TIME_24H,0,2433.39,0.59,-39.5139,-1.624
HBARUSDT,STOP_LOSS,0,777.29,1.72,-32.234,-4.147
ZECUSDT,STOP_LOSS,0,805.2,1.08,-33.3918,-4.147
ROSEUSDT,TRAILING,0,2395.24,4.99,65.4659,2.733
WINUSDT,TIME_24H,0,777.29,2.78,-7.8115,-1.005
ATMUSDT,TIME_24H,0,78.4,1.19,-1.7448,-2.226
RAYUSDT,STOP_LOSS,0,626.15,1.4,-25.9666,-4.147
TLMUSDT,TRAILING,0,792.01,4.44,17.4155,2.199
ZENUSDT,TRAILING,0,792.01,4.03,14.2397,1.798
DYDXUSDT,STOP_LOSS,0,1614.96,0.09,-66.9722,-4.147
GALAUSDT,TIME_24H,0,2421.86,2.61,-14.7001,-0.607
ROSEUSDT,STOP_LOSS,0,792.01,2.26,-32.8445,-4.147
ENSUSDT,STOP_LOSS,0,1548.23,0.81,-64.2053,-4.147
SFPUSDT,STOP_LOSS,0,2335.34,1.15,-96.8467,-4.147
MINAUSDT,TRAILING,0,579.02,7.24,28.5841,4.937
SHIBUSDT,TRAILING,0,579.02,3.99,10.201,1.762
BANDUSDT,TRAILING,0,2305.88,5.01,63.6647,2.761
ONEUSDT,STOP_LOSS,0,579.02,0.18,-24.012,-4.147
IMXUSDT,TRAILING,0,1013.84,3.12,9.1554,0.903
MINAUSDT,STOP_LOSS,0,1013.84,0.25,-42.0441,-4.147
MAGICUSDT,TRAILING,0,996.7,3.02,8.0673,0.809
C98USDT,TRAILING,0,1013.84,7.21,49.84,4.916
YGGUSDT,TRAILING,0,2068.25,3.73,31.0635,1.502
BICOUSDT,STOP_LOSS,0,1013.84,0.72,-42.0441,-4.147
NEOUSDT,TIME_24H,0,579.02,2.23,7.7457,1.338
FETUSDT,STOP_LOSS,0,1256.8,2.13,-52.1194,-4.147
SLPUSDT,STOP_LOSS,0,842.4,0.55,-34.9343,-4.147
SNXUSDT,TIME_24H,0,996.7,2.93,-7.5919,-0.762
ZECUSDT,TRAILING,0,2289.71,6.09,87.2892,3.812
SUSHIUSDT,TRAILING,0,929.84,5.99,34.5302,3.714
UNIUSDT,TRAILING,0,929.84,4.38,19.9381,2.144
EGLDUSDT,TRAILING,0,955.93,4.48,21.3645,2.235
GRTUSDT,TRAILING,0,929.84,5.05,25.9905,2.795
CTKUSDT,TRAILING,0,976.5,4.12,18.4414,1.889
THETAUSDT,TRAILING,0,929.84,4.42,20.3052,2.184
VETUSDT,STOP_LOSS,0,929.84,1.78,-38.5605,-4.147
RSRUSDT,STOP_LOSS,0,955.93,1.44,-39.6424,-4.147
GLMRUSDT,TRAILING,0,967.36,6.83,43.9274,4.541
DGBUSDT,TRAILING,0,903.55,4.54,20.7316,2.294
IOTAUSDT,TIME_24H,0,967.36,0.81,-9.2332,-0.954
XLMUSDT,TIME_24H,0,967.36,0.43,-11.8337,-1.223
APEUSDT,TIME_24H,0,903.55,2.36,10.3105,1.141
POWRUSDT,TRAILING,0,970.41,3.64,13.7787,1.42
GRTUSDT,TRAILING,0,970.41,4.69,23.7561,2.448
LINKUSDT,TIME_24H,0,967.69,2.11,15.7103,1.623
ONTUSDT,TIME_24H,0,967.69,2.8,21.7066,2.243
AUDIOUSDT,STOP_LOSS,0,886.74,1.0,-36.773,-4.147
MBOXUSDT,STOP_LOSS,0,983.41,1.84,-40.7821,-4.147
ALICEUSDT,STOP_LOSS,0,994.07,1.75,-41.224,-4.147
SFPUSDT,STOP_LOSS,0,2389.81,2.59,-99.1055,-4.147
STEEMUSDT,STOP_LOSS,0,487.1,2.57,-20.1999,-4.147
GALAUSDT,STOP_LOSS,0,487.1,1.18,-20.1999,-4.147
STORJUSDT,STOP_LOSS,0,401.84,2.87,-16.6643,-4.147
TLMUSDT,STOP_LOSS,0,2282.9,1.53,-94.6717,-4.147
QTUMUSDT,STOP_LOSS,0,2282.9,0.77,-94.6717,-4.147
ANKRUSDT,TRAILING,0,1094.33,6.39,44.9965,4.112
SOLUSDT,STOP_LOSS,0,728.96,1.07,-30.2299,-4.147
ICPUSDT,STOP_LOSS,0,728.96,1.25,-30.2299,-4.147
ZENUSDT,TIME_24H,0,728.96,2.91,-6.0342,-0.828
