symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
NEIROUSDT,STOP_LOSS,0,2500.0,2.06,-103.675,-4.147
TNSRUSDT,STOP_LOSS,0,2479.38,0.0,-102.82,-4.147
ENAUSDT,TRAILING,0,2387.76,5.24,71.1119,2.978
ORDIUSDT,TRAILING,0,2387.76,3.16,22.6489,0.949
WOOUSDT,TRAILING,0,2443.63,6.33,98.8881,4.047
PEPEUSDT,TRAILING,0,2483.73,4.04,44.927,1.809
RENDERUSDT,TRAILING,0,2483.73,4.09,46.0089,1.852
ARKUSDT,TRAILING,0,2538.54,4.82,65.3664,2.575
BOMEUSDT,STOP_LOSS,0,1280.79,2.45,-53.1145,-4.147
WIFUSDT,STOP_LOSS,0,1280.79,0.73,-53.1145,-4.147
SUIUSDT,STOP_LOSS,0,1280.79,0.68,-53.1145,-4.147
FLOKIUSDT,TRAILING,0,1280.79,5.65,43.2992,3.381
BONKUSDT,TRAILING,0,2503.78,4.42,54.6685,2.183
WOOUSDT,TRAILING,0,2503.78,3.62,34.8514,1.392
PEPEUSDT,STOP_LOSS,0,2557.97,0.04,-106.0788,-4.147
HBARUSDT,TRAILING,0,2504.93,3.54,33.0326,1.319
FTTUSDT,TRAILING,0,2521.44,4.18,48.9484,1.941
GALAUSDT,STOP_LOSS,0,2536.37,0.33,-105.1833,-4.147
XRPUSDT,STOP_LOSS,0,2536.37,0.38,-105.1833,-4.147
KAVAUSDT,TRAILING,0,2440.73,5.65,82.5635,3.383
FLOKIUSDT,STOP_LOSS,0,2420.6,0.13,-100.3825,-4.147
FTTUSDT,TRAILING,0,2431.82,4.36,51.4958,2.118
DGBUSDT,STOP_LOSS,0,2336.35,1.3,-96.8886,-4.147
XRPUSDT,STOP_LOSS,0,2409.13,0.04,-99.9065,-4.147
XTZUSDT,TRAILING,0,2339.72,3.94,40.0885,1.713
MANTAUSDT,TRAILING,0,2378.33,5.16,69.1795,2.909
XNOUSDT,TRAILING,0,816.19,4.5,18.4612,2.262
WBTCUSDT,TIME_24H,0,2359.17,0.84,-2.284,-0.097
MANAUSDT,STOP_LOSS,0,416.68,2.29,-17.2798,-4.147
SANDUSDT,TRAILING,0,416.68,7.08,19.922,4.781
CELRUSDT,TRAILING,0,816.19,5.53,26.6976,3.271
SKLUSDT,TRAILING,0,816.19,3.72,12.1724,1.491
PONDUSDT,STOP_LOSS,0,684.1,1.11,-28.3695,-4.147
ILVUSDT,TRAILING,0,2419.36,3.0,19.1956,0.793
OGNUSDT,TRAILING,0,2419.36,3.34,27.2573,1.127
TIAUSDT,TRAILING,0,2451.69,4.59,57.4342,2.343
MBLUSDT,TRAILING,0,2480.41,6.38,101.7497,4.102
LDOUSDT,TRAILING,0,2531.29,9.4,178.69,7.059
ENSUSDT,TRAILING,0,2620.63,11.07,227.7052,8.689
ENSUSDT,TRAILING,0,2734.48,5.45,87.0564,3.184
XRPUSDT,STOP_LOSS,0,2755.1,1.92,-114.2541,-4.147
ZROUSDT,STOP_LOSS,0,2778.01,0.66,-115.2042,-4.147
SCRTUSDT,STOP_LOSS,0,758.52,1.4,-31.4557,-4.147
VETUSDT,STOP_LOSS,0,2637.63,0.0,-109.3824,-4.147
COMPUSDT,TRAILING,0,2637.63,7.63,140.2891,5.319
DGBUSDT,TRAILING,0,2663.01,3.75,40.6084,1.525
JASMYUSDT,TRAILING,0,2683.31,3.88,44.2397,1.649
LPTUSDT,STOP_LOSS,0,2705.43,2.94,-112.1943,-4.147
TURBOUSDT,TRAILING,0,2649.34,3.05,22.3359,0.843
1MBABYDOGEUSDT,STOP_LOSS,0,2660.5,1.02,-110.3311,-4.147
XAIUSDT,STOP_LOSS,0,1038.23,0.67,-43.0553,-4.147
PIXELUSDT,STOP_LOSS,0,1038.23,0.82,-43.0553,-4.147
ALTUSDT,STOP_LOSS,0,1038.23,0.75,-43.0553,-4.147
FLOWUSDT,STOP_LOSS,0,1038.23,0.88,-43.0553,-4.147
DASHUSDT,STOP_LOSS,0,1038.23,1.49,-43.0553,-4.147
KSMUSDT,TRAILING,0,995.33,4.18,19.3529,1.944
CFXUSDT,TRAILING,0,995.33,5.14,28.7256,2.886
MANTAUSDT,TRAILING,0,995.33,5.38,31.0989,3.124
PORTALUSDT,TRAILING,0,995.33,4.8,25.4059,2.553
APEUSDT,TRAILING,0,995.33,7.99,56.5096,5.677
COMPUSDT,STOP_LOSS,0,2578.25,0.09,-106.9199,-4.147
SUSHIUSDT,TRAILING,0,2524.79,4.02,45.1655,1.789
AGLDUSDT,STOP_LOSS,0,2547.37,1.55,-105.6394,-4.147
SCRTUSDT,STOP_LOSS,0,2494.55,0.27,-103.449,-4.147
