symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
FTTUSDT,STOP_LOSS,0,2500.0,2.29,-66.2031,-2.648
XVGUSDT,STOP_LOSS,0,1223.28,0.83,-32.3939,-2.648
RSRUSDT,TRAILING,0,1223.28,7.26,60.7166,4.963
CVCUSDT,STOP_LOSS,0,711.61,0.05,-18.8442,-2.648
ENSUSDT,TRAILING,0,2466.9,9.16,168.3561,6.825
HBARUSDT,TRAILING,0,595.05,4.83,15.3537,2.58
USUALUSDT,TRAILING,0,595.05,4.26,12.025,2.021
ONEUSDT,TRAILING,0,572.18,3.06,4.8758,0.852
AGLDUSDT,STOP_LOSS,0,842.12,1.13,-22.3004,-2.648
PEPEUSDT,TRAILING,0,1187.22,5.3,36.0834,3.039
LPTUSDT,TRAILING,0,720.83,5.02,19.926,2.764
AAVEUSDT,TRAILING,0,1187.22,4.61,28.0841,2.366
ONEUSDT,TRAILING,0,2040.76,3.94,34.866,1.708
LPTUSDT,TRAILING,0,1411.0,3.25,14.5293,1.03
BTCUSDT,TIME_24H,0,1187.22,2.98,22.5933,1.903
ONEUSDT,STOP_LOSS,0,712.74,0.0,-18.8742,-2.648
SANDUSDT,TRAILING,0,712.74,4.5,16.1222,2.262
WBTCUSDT,TIME_24H,0,2619.83,1.36,29.094,1.111
DASHUSDT,TRAILING,0,634.3,6.04,23.8901,3.766
VANRYUSDT,TRAILING,0,725.85,6.89,33.3866,4.6
CVXUSDT,TRAILING,0,1107.82,3.29,11.8663,1.071
AXSUSDT,TRAILING,0,725.85,3.15,6.7748,0.933
ZECUSDT,STOP_LOSS,0,1479.61,0.27,-39.1819,-2.648
GASUSDT,TRAILING,0,1054.44,3.7,15.551,1.475
POLYXUSDT,TRAILING,0,547.34,4.61,12.9696,2.37
LPTUSDT,STOP_LOSS,0,1479.61,1.62,-39.1819,-2.648
ARBUSDT,TRAILING,0,1069.09,6.19,41.8491,3.914
YFIUSDT,STOP_LOSS,0,1119.55,0.73,-29.6471,-2.648
ETCUSDT,TIME_24H,0,1117.43,1.41,3.0352,0.272
SPELLUSDT,TIME_24H,0,1003.03,2.17,-4.3355,-0.432
QTUMUSDT,TIME_24H,0,998.52,2.15,-2.6593,-0.266
HOTUSDT,STOP_LOSS,0,1119.64,1.47,-29.6495,-2.648
GASUSDT,TIME_24H,0,1100.47,2.42,9.2606,0.842
EGLDUSDT,TIME_24H,0,1100.47,1.69,-11.2559,-1.023
USUALUSDT,STOP_LOSS,0,2198.29,1.98,-58.2135,-2.648
AXSUSDT,TRAILING,0,1150.46,4.62,27.3815,2.38
POLYXUSDT,TRAILING,0,1070.15,3.21,10.6786,0.998
REQUSDT,TIME_24H,0,785.27,1.91,13.2199,1.683
BTCUSDT,TIME_24H,0,1150.46,4.53,47.169,4.1
ZILUSDT,TRAILING,0,1070.15,8.21,63.0175,5.889
AXSUSDT,STOP_LOSS,0,1080.71,2.12,-28.6185,-2.648
