symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
NEIROUSDT,ATR_STOP,0,2500.0,2.06,-251.9315,-10.077
ENAUSDT,ATR_TRAIL,0,1124.51,19.26,88.6559,7.884
TNSRUSDT,ATR_TRAIL,0,2479.38,7.45,-84.5101,-3.409
ORDIUSDT,ATR_TRAIL,0,1124.51,9.28,-26.073,-2.319
WOOUSDT,ATR_TRAIL,0,2363.07,14.13,72.0635,3.05
RENDERUSDT,ATR_TRAIL,0,1171.79,4.93,-83.0903,-7.091
PEPEUSDT,ATR_TRAIL,0,1171.79,9.26,-57.2418,-4.885
WIFUSDT,ATR_TRAIL,0,577.43,21.73,46.9859,8.137
ARKUSDT,ATR_TRAIL,0,2328.94,14.19,1.1781,0.051
BOMEUSDT,ATR_TRAIL,0,577.43,13.59,-7.3295,-1.269
FLOKIUSDT,ATR_TRAIL,0,577.43,9.99,-27.3634,-4.739
BONKUSDT,ATR_TRAIL,0,1477.4,11.75,-110.2803,-7.464
WOOUSDT,ATR_TRAIL,0,1477.4,3.62,-119.8176,-8.11
SUIUSDT,ATR_TRAIL,0,577.43,3.19,-51.2442,-8.875
HBARUSDT,ATR_TRAIL,0,2195.0,18.4,114.9567,5.237
FTTUSDT,ATR_TRAIL,0,2252.48,17.02,120.5395,5.351
GALAUSDT,ATR_TRAIL,0,1116.95,7.1,-39.4898,-3.535
FTTUSDT,ATR_TRAIL,0,2292.59,5.32,-175.574,-7.658
XRPUSDT,ATR_TRAIL,0,1116.95,39.3,288.9263,25.867
XTZUSDT,ATR_TRAIL,0,124.68,14.08,2.4705,1.981
DGBUSDT,ATR_TRAIL,0,2204.8,7.89,-187.0255,-8.483
MANTAUSDT,ATR_TRAIL,0,2147.27,8.26,-92.0059,-4.285
TIAUSDT,ATR_TRAIL,0,2055.61,12.94,-15.2537,-0.742
ENSUSDT,ATR_TRAIL,0,2040.41,11.07,-38.1762,-1.871
ZROUSDT,ATR_STOP,0,2002.38,2.02,-185.9818,-9.288
VETUSDT,ATR_STOP,0,908.55,0.0,-99.5703,-10.959
COMPUSDT,ATR_TRAIL,0,908.55,32.78,204.9752,22.561
DGBUSDT,ATR_TRAIL,0,1922.1,4.8,-210.435,-10.948
LPTUSDT,ATR_STOP,0,1712.46,2.94,-174.8083,-10.208
TURBOUSDT,ATR_TRAIL,0,1538.3,13.68,32.3518,2.103
1MBABYDOGEUSDT,ATR_STOP,0,1570.53,1.92,-214.3698,-13.649
ALTUSDT,ATR_TRAIL,0,339.24,21.74,22.7472,6.705
PIXELUSDT,ATR_TRAIL,0,339.24,17.3,9.2919,2.739
FLOWUSDT,ATR_TRAIL,0,339.24,14.62,3.745,1.104
XAIUSDT,ATR_TRAIL,0,339.24,15.63,0.8485,0.25
WBTCUSDT,ATR_TRAIL,0,2348.85,10.83,-89.5219,-3.811
COMPUSDT,ATR_STOP,0,1393.46,0.09,-123.6178,-8.871
SUSHIUSDT,ATR_TRAIL,0,1772.51,11.61,-71.7401,-4.047
AGLDUSDT,ATR_STOP,0,1736.64,1.55,-252.9951,-14.568
SCRTUSDT,ATR_TRAIL,0,1610.14,14.91,-5.6526,-0.351
