symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
FETUSDT,TRAILING,0,2500.0,4.54,57.4145,2.297
FETUSDT,STOP_LOSS,0,2528.71,0.63,-66.9633,-2.648
GALAUSDT,STOP_LOSS,0,2485.87,0.0,-65.8289,-2.648
LDOUSDT,STOP_LOSS,0,2485.87,2.89,-65.8289,-2.648
FETUSDT,STOP_LOSS,0,2429.4,0.28,-64.3335,-2.648
APTUSDT,TRAILING,0,2397.23,3.57,32.3939,1.351
APTUSDT,TRAILING,0,2413.43,3.37,27.8256,1.153
GALAUSDT,TRAILING,0,2427.34,6.59,104.4008,4.301
MAGICUSDT,TRAILING,0,2470.24,3.65,35.2576,1.427
APTUSDT,TRAILING,0,2470.24,5.42,78.0618,3.16
LDOUSDT,TRAILING,0,2536.2,3.03,20.6731,0.815
GMTUSDT,STOP_LOSS,0,2546.54,0.23,-67.4355,-2.648
OPUSDT,STOP_LOSS,0,2512.82,1.93,-66.5426,-2.648
RAYUSDT,TRAILING,0,989.7,11.86,93.6628,9.464
SLPUSDT,STOP_LOSS,0,2526.38,0.0,-66.9017,-2.648
LDOUSDT,STOP_LOSS,0,2483.58,0.04,-65.7683,-2.648
APTUSDT,STOP_LOSS,0,2483.58,1.97,-65.7683,-2.648
SANDUSDT,STOP_LOSS,0,2418.06,0.19,-64.0332,-2.648
MANAUSDT,STOP_LOSS,0,2418.06,0.9,-64.0332,-2.648
FIDAUSDT,TRAILING,0,868.84,3.15,8.1697,0.94
KAVAUSDT,STOP_LOSS,0,2367.21,0.29,-62.6867,-2.648
WAXPUSDT,TRAILING,0,2335.87,3.18,22.481,0.962
APTUSDT,STOP_LOSS,0,2347.11,1.44,-62.1544,-2.648
MAGICUSDT,STOP_LOSS,0,2316.03,1.43,-61.3314,-2.648
GMTUSDT,STOP_LOSS,0,2285.37,1.25,-60.5193,-2.648
TUSDT,SMART_TP_TRAIL,0,832.99,19.78,133.5072,16.027
TUSDT,STOP_LOSS,0,2321.86,2.31,-61.4857,-2.648
LPTUSDT,STOP_LOSS,0,2241.18,1.83,-59.3491,-2.648
COTIUSDT,TRAILING,0,2261.44,3.01,18.0716,0.799
CFXUSDT,STOP_LOSS,0,2270.48,2.32,-60.1251,-2.648
DYDXUSDT,TRAILING,0,2240.42,4.28,45.6659,2.038
TFUELUSDT,TRAILING,0,2263.25,10.39,181.6012,8.024
