symbol,exit_reason,duration_h,size_usd,peak_pct,net_pnl,pnl_pct
CVCUSDT,STOP_LOSS,0,2500.0,2.01,-66.2031,-2.648
DEXEUSDT,TRAILING,0,1348.76,4.52,30.7244,2.278
DEXEUSDT,STOP_LOSS,0,2482.26,2.15,-65.7334,-2.648
XVGUSDT,STOP_LOSS,0,2449.39,0.05,-64.863,-2.648
DGBUSDT,STOP_LOSS,0,2416.96,2.11,-64.0042,-2.648
RUNEUSDT,TRAILING,0,2384.96,3.18,26.0991,1.094
MBLUSDT,TRAILING,0,2398.01,3.0,19.0282,0.793
SPELLUSDT,STOP_LOSS,0,2407.52,0.42,-63.7542,-2.648
BIOUSDT,EARLY_EXIT,0,2375.65,1.76,-27.1099,-1.141
RAYUSDT,STOP_LOSS,0,2362.09,0.63,-62.5511,-2.648
VANAUSDT,STOP_LOSS,0,2330.82,0.18,-61.8103,-2.652
BOMEUSDT,TRAILING,0,2291.29,4.57,57.5231,2.511
PNUTUSDT,TRAILING,0,2291.29,4.31,51.4971,2.248
SPELLUSDT,TRAILING,0,2354.42,4.63,56.1346,2.384
PNUTUSDT,TRAILING,0,2382.49,3.32,29.5693,1.241
THEUSDT,TRAILING,0,1635.43,8.74,110.7575,6.772
BOMEUSDT,TRAILING,0,1221.73,3.25,14.2243,1.164
PNUTUSDT,TRAILING,0,1221.73,3.04,11.687,0.957
BEAMXUSDT,STOP_LOSS,0,1221.73,2.84,-32.3987,-2.652
CETUSUSDT,STOP_LOSS,0,1221.73,2.73,-32.3987,-2.652
ACHUSDT,TRAILING,0,2433.21,6.99,114.2775,4.697
BELUSDT,STOP_LOSS,0,2490.35,2.88,-65.9475,-2.648
PNUTUSDT,STOP_LOSS,0,1713.31,0.52,-45.4347,-2.652
BOMEUSDT,STOP_LOSS,0,1713.31,0.77,-45.4347,-2.652
XVGUSDT,STOP_LOSS,0,1469.71,0.59,-38.9748,-2.652
ACHUSDT,TRAILING,0,2392.45,3.45,29.5352,1.235
DYMUSDT,TRAILING,0,2407.22,10.7,211.2335,8.775
XRPUSDT,STOP_LOSS,0,1001.37,1.82,-26.555,-2.652
TONUSDT,TRAILING,0,1001.37,3.74,16.7136,1.669
KAIAUSDT,TRAILING,0,1001.37,3.09,10.0281,1.001
XTZUSDT,TRAILING,0,1001.37,3.18,10.967,1.095
MEMEUSDT,STOP_LOSS,0,1001.37,2.64,-26.555,-2.652
LQTYUSDT,STOP_LOSS,0,1148.77,0.21,-30.464,-2.652
HMSTRUSDT,STOP_LOSS,0,1148.77,0.33,-30.464,-2.652
CETUSUSDT,TRAILING,0,745.01,3.27,8.8551,1.189
SUSHIUSDT,STOP_LOSS,0,996.41,0.25,-26.4234,-2.652
