symbol,entry_utc,exit_utc,entry_price,exit_price,size_usd,qty,duration_h,exit_reason,signals,ad_class,peak_pct,net_pnl,pnl_pct
FTTUSDT,2025-01-01 08:00,2025-01-01 17:29,3.7346,3.9297999999999997,2500.0,669.4157339474107,9.5,TRAILING,RSI,ad_full,7.37,126.8219,5.073
ENSUSDT,2025-01-01 12:00,2025-01-02 00:29,32.74,35.0252,2479.38,75.72944505956018,12.5,TRAILING,RSI,ad_A_only,9.16,169.2081,6.825
RSRUSDT,2025-01-01 20:00,2025-01-01 21:14,0.013872,0.0144305,875.45,63109.42358668775,1.25,TRAILING,RSI+OBV,ad_A_only,6.15,33.907,3.873
HBARUSDT,2025-01-01 20:00,2025-01-02 00:29,0.29572,0.3038,875.45,2960.4150006578266,4.5,TRAILING,RSI+OBV,ad_A_only,4.83,22.589,2.58
USUALUSDT,2025-01-01 20:00,2025-01-02 00:29,0.9207,0.9407019999999999,875.45,950.8568741115809,4.5,TRAILING,MACD+RSI,ad_A_only,4.26,17.6916,2.021
CVCUSDT,2025-01-02 00:00,2025-01-02 00:29,0.1899,0.182304,512.03,2696.329862174156,0.5,STOP_LOSS,RSI+OBV,ad_full,0.05,-21.234,-4.147
ONEUSDT,2025-01-02 00:00,2025-01-02 01:44,0.02774,0.0280182,395.89,14271.53830921978,1.75,TRAILING,RSI+OBV,ad_A_only,3.06,3.3735,0.852
PEPEUSDT,2025-01-02 04:00,2025-01-02 04:59,1.982e-05,2.0452599999999998e-05,1250.18,63076840.997498654,1.0,TRAILING,MACD,ad_A_only,5.3,37.9972,3.039
AGLDUSDT,2025-01-02 04:00,2025-01-02 07:14,2.564,2.46144,852.25,332.3888693169464,3.25,STOP_LOSS,RSI+OBV,ad_full,1.13,-35.3426,-4.147
LPTUSDT,2025-01-02 04:00,2025-01-02 10:44,15.428,15.877960000000002,729.49,47.28362611554793,6.75,TRAILING,MACD+RSI,ad_A_only,5.02,20.1655,2.764
