تحميل 5m لـ45 عملة × 366 يوم...
تحميل 4.1د

عملات مُختبَرة: 45

##### الاستراتيجية (EMA7200 + دخول +5%) #####
  متوسط العائد/عملة: +7%   الوسيط: -9%
  عملات رابحة: 44%   تتفوّق على الاحتفاظ: 80%
##### الاحتفاظ #####
  متوسط: -20%   الوسيط: -49%

العملة     استراتيجية   احتفاظ  صفقات    WR
SUIUSDT         +190%    +215%     24   33%
CRVUSDT         +119%     +43%     23   22%
XRPUSDT         +111%    +318%     23   17%
DOGEUSDT        +100%     +20%     19   16%
ALGOUSDT         +99%      +3%     17   24%
ENAUSDT          +79%     -65%     21   24%
ADAUSDT          +63%     +53%     17   18%
BTCUSDT          +54%     +55%      8   62%
SANDUSDT         +53%     -38%     16   31%
ETHUSDT          +51%     -33%      9   22%
AAVEUSDT         +37%    +136%     29   28%
SOLUSDT          +29%      -6%     17   41%
MANAUSDT         +24%     -39%     16   25%
TRXUSDT          +20%    +136%     14   43%
UNIUSDT          +16%     -39%     17   24%
ATOMUSDT         +10%     -48%     14   29%
INJUSDT           +7%     -51%     18   33%
GRTUSDT           +5%     -68%     18   22%
AXSUSDT           +3%     -66%     12   25%
DOTUSDT           +3%     -42%     16   12%
LINKUSDT          -9%     -24%     23   17%
ICPUSDT           -9%     -59%     18   22%
FETUSDT           -9%     -65%     23   26%
DYDXUSDT          -9%     -73%     18   17%
APTUSDT          -14%     -49%     21   24%
WLDUSDT          -16%     -77%     24   29%
SEIUSDT          -18%     -62%     25   28%
GALAUSDT         -19%     -62%     27   15%
SNXUSDT          -22%     -76%     21   19%
ARBUSDT          -22%     -70%     20   20%
STXUSDT          -23%     -60%     22   23%
AVAXUSDT         -24%     -43%     23   22%
NEARUSDT         -26%     -67%     23   17%
IMXUSDT          -28%     -75%     24   21%
LTCUSDT          -28%      +4%     22   14%
BNBUSDT          -30%     +11%     15   13%
FILUSDT          -32%     -55%     20   15%
JUPUSDT          -33%     -52%     26   35%
MKRUSDT          -38%     -42%     26   19%
COMPUSDT         -43%     -32%     21   24%
ORDIUSDT         -46%     -82%     26   19%
OPUSDT           -54%     -74%     26   12%
TIAUSDT          -58%     -79%     31   13%
RUNEUSDT         -64%     -73%     37   16%
LDOUSDT          -77%     -67%     42   12%
DONE_ESAMPLE.
