تحميل 5m لـ45 عملة × 366 يوم...
تحميل 1.0د

عملات مُختبَرة: 45

##### الاستراتيجية (EMA7200 + دخول +10%) #####
  متوسط العائد/عملة: +2%   الوسيط: -3%
  عملات رابحة: 44%   تتفوّق على الاحتفاظ: 82%
##### الاحتفاظ #####
  متوسط: -20%   الوسيط: -49%

العملة     استراتيجية   احتفاظ  صفقات    WR
XRPUSDT         +159%    +318%     10   30%
DOGEUSDT        +116%     +20%      9   22%
SUIUSDT          +88%    +215%     17   29%
CRVUSDT          +59%     +43%     15   20%
ALGOUSDT         +57%      +3%     11    9%
ETHUSDT          +52%     -33%      3   67%
ENAUSDT          +48%     -65%     13   31%
SOLUSDT          +38%      -6%      7   71%
BTCUSDT          +25%     +55%      4   50%
DOTUSDT          +25%     -42%      6   33%
LINKUSDT         +24%     -24%      8   12%
MKRUSDT          +17%     -42%      7   57%
SANDUSDT         +15%     -38%     11    9%
ADAUSDT          +11%     +53%     12    8%
TRXUSDT          +10%    +136%      6   50%
NEARUSDT          +8%     -67%      8   38%
DYDXUSDT          +7%     -73%      8   12%
GRTUSDT           +4%     -68%      9   33%
UNIUSDT           +2%     -39%      9   22%
SEIUSDT           +1%     -62%     11   36%
AAVEUSDT          -0%    +136%     18   28%
MANAUSDT          -2%     -39%     10   20%
ATOMUSDT          -3%     -48%      8   12%
AXSUSDT           -6%     -66%      6   33%
INJUSDT           -6%     -51%     11   36%
SNXUSDT          -13%     -76%     10   30%
GALAUSDT         -13%     -62%     13   23%
COMPUSDT         -13%     -32%      7   14%
LTCUSDT          -13%      +4%      9   22%
ICPUSDT          -18%     -59%     10   20%
ARBUSDT          -20%     -70%     10   20%
APTUSDT          -23%     -49%     12   33%
FETUSDT          -23%     -65%     14   36%
AVAXUSDT         -27%     -43%     12   17%
IMXUSDT          -27%     -75%     12   33%
RUNEUSDT         -32%     -73%     13   15%
FILUSDT          -35%     -55%     10   10%
STXUSDT          -35%     -60%     13   31%
BNBUSDT          -37%     +11%      7    0%
OPUSDT           -42%     -74%     11    9%
WLDUSDT          -43%     -77%     16   31%
LDOUSDT          -52%     -67%     15   20%
JUPUSDT          -52%     -52%     17   18%
TIAUSDT          -59%     -79%     16   12%
ORDIUSDT         -60%     -82%     16   12%
DONE_ESAMPLE.
