
عملات: 45 | TP=+10%

(أ) دخول عند التقاطع + TP10: متوسط -38% | وسيط -43% | رابحة 4% | متوسط WR 5%
(ب) دخول +5% فوق EMA + TP10: متوسط -7% | وسيط -21% | رابحة 38% | متوسط WR 45%
الاحتفاظ: متوسط -20% | وسيط -49%

العملة      أ(تقاطع)   ب(+5%)   احتفاظ
BTCUSDT         -19%     +51%     +55%
ETHUSDT          -2%     +45%     -33%
SOLUSDT         -37%     +18%      -6%
BNBUSDT         -48%     -32%     +11%
XRPUSDT         -45%     +71%    +318%
DOGEUSDT        -36%     +53%     +20%
ADAUSDT         -48%     +49%     +53%
AVAXUSDT        -19%     -30%     -43%
LINKUSDT        -46%     -15%     -24%
DOTUSDT         -60%     -10%     -42%
LTCUSDT         -53%     -34%      +4%
TRXUSDT         -20%      +6%    +136%
NEARUSDT        -59%     -31%     -67%
APTUSDT         -18%     -22%     -49%
ARBUSDT          -9%     -30%     -70%
OPUSDT          -57%     -54%     -74%
INJUSDT         -38%      +1%     -51%
SUIUSDT          -0%    +102%    +215%
SEIUSDT         -57%     -23%     -62%
TIAUSDT         -43%     -62%     -79%
FILUSDT         -51%     -35%     -55%
ATOMUSDT        -37%      +5%     -48%
UNIUSDT         -26%      +1%     -39%
AAVEUSDT        +33%     +18%    +136%
RUNEUSDT        -43%     -67%     -73%
ALGOUSDT        -56%     +70%      +3%
ICPUSDT         -61%     -14%     -59%
FETUSDT         -22%     -21%     -65%
GALAUSDT        -37%     -29%     -62%
SANDUSDT        -25%     +31%     -38%
MANAUSDT        -54%      +1%     -39%
AXSUSDT         -53%      -3%     -66%
GRTUSDT         -38%      -2%     -68%
LDOUSDT         -67%     -78%     -67%
IMXUSDT         -59%     -39%     -75%
STXUSDT         -56%     -34%     -60%
CRVUSDT         -31%     +73%     +43%
COMPUSDT        -76%     -50%     -32%
MKRUSDT         -52%     -43%     -42%
SNXUSDT         -44%     -31%     -76%
DYDXUSDT        -44%     -27%     -73%
ENAUSDT         -39%     +53%     -65%
WLDUSDT         -35%     -28%     -77%
JUPUSDT         +15%     -51%     -52%
ORDIUSDT        -31%     -55%     -82%
DONE_TP.
